RUBRO,AÑOMES,CONCEPTO,60 - BANCO MUNDO MUJER S.A.,52 - BANCAMÍA S.A.,53 - BANCO W S.A.,62 - MIBANCO S.A.,30 - BANCO CAJA SOCIAL S.A.
100000,202211,ACTIVO,3065.8998065100004,2202.05082561,2145.95403791,1942.6062609800001,19507.744602259998
100000,202212,ACTIVO,3078.5717548400003,2257.60273959,2143.37567129,1930.36668306,19621.76028219
100000,202301,ACTIVO,3251.28286711,2274.6629965300003,2111.36139996,1955.01489985,19557.35259643
100000,202302,ACTIVO,3084.05542096,2358.01020368,2147.52804304,1972.62787225,19751.82086489
100000,202303,ACTIVO,3037.57583072,2380.87525628,2171.11275578,1970.0662271800002,20410.618844099998
100000,202304,ACTIVO,2984.96932861,2434.4432147800003,2196.6308349,1946.6252046099999,20382.13972426
100000,202305,ACTIVO,3038.36144567,2470.10667556,2256.6063815,1953.57688293,20317.291623150002
100000,202306,ACTIVO,3082.08680362,2412.61148576,2240.51212233,1993.7291858499998,20643.46254991
100000,202307,ACTIVO,3089.14881842,2346.4778919200003,2277.67705774,2004.81680996,20742.07228929
100000,202308,ACTIVO,3128.78505833,2330.69673797,2248.8039139899997,2059.60328721,20643.57415876
100000,202309,ACTIVO,3181.67999486,2357.77824252,2235.50467373,2111.5207269400003,20365.1622058
100000,202310,ACTIVO,3225.96532742,2342.13176106,2284.8501305100003,2178.60891779,21160.78289896
140000,202211,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2279.09246325,1760.48924603,1452.04196373,1434.73466951,13865.80876935
140000,202212,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2277.86563936,1777.29604877,1475.33440494,1463.39274028,13924.549906709999
140000,202301,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2285.15143223,1802.67725181,1485.4635821400002,1472.6797343399999,13913.49802549
140000,202302,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2310.3337693000003,1827.90943576,1501.74526957,1492.3148798,14024.409840040002
140000,202303,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2344.29771436,1857.13419369,1523.46012502,1511.8168888900002,14091.06671078
140000,202304,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2360.0494924600002,1871.70081342,1547.22710023,1517.3121784100001,14200.45377218
140000,202305,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2381.3274673600004,1875.58730959,1556.6590948,1533.0059134,14301.75361417
140000,202306,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2394.21942183,1864.1053894000001,1567.25611009,1557.88074906,14360.636588700001
140000,202307,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2404.6380972600004,1859.92647642,1566.6155155899999,1573.23439721,14414.37026218
140000,202308,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2422.30902142,1848.9344284400001,1572.66728259,1596.09851328,14548.63764708
140000,202309,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2435.79559356,1798.26246988,1582.12377928,1632.22198815,14722.51137491
140000,202310,CARTERA DE CREDITOS Y OPERACIONES DE LEASING FINANCIERO,2440.02464107,1778.21954002,1588.87963814,1650.18594625,14829.89287315
140800,202211,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,257.25824133000003,7.58163622,94.19180479,2.78811447,4062.42091188
140800,202212,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,254.14139401,7.10726294,99.03353007,2.50793385,4134.05889328
140800,202301,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,252.45274267,6.5890546,102.7432061,2.2578076400000002,4145.9971575
140800,202302,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,254.70730874,6.18050074,107.48488928,2.0966838400000003,4205.63458091
140800,202303,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,256.19387031,5.72557881,113.90077767,1.92094065,4182.96738301
140800,202304,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,256.69356811,5.376394309999999,118.94715048,1.78409438,4268.97807459
140800,202305,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,257.96869877,5.07716819,122.1880118,1.5939609399999999,4328.25959874
140800,202306,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,258.18508021,4.79532557,122.33536070000001,1.49575733,4312.30785179
140800,202307,CARTERA Y OPERACIONES DE LEASING DE CONSUMO,258.83880313,4.55330222,121.51926844,1.42586981,4378.47003573
